attribute,term,estimate.OLS_interact,std.error.OLS_interact,estimate.OLS_glm_interact,std.error.OLS_glm_interact
Education,Education.2,0.033068507910901934,0.01492284674169758,0.03312519758627335,0.014899319943989056
Education,Education.3,0.0577440133730279,0.014911409082997524,0.0568828164646432,0.014943464443849065
Education,Education.4,0.1194834763785165,0.014906988268350688,0.11938537413011097,0.014953987655382918
Education,Education.5,0.1488205299043156,0.016746574046138447,0.14839761083765238,0.016803548821383785
Education,Education.6,0.18007699173872968,0.01673069538202605,0.18029593429146457,0.016905003575298592
Education,Education.7,0.17606802879230196,0.01677322392093991,0.17588041539922236,0.016910509886517815
Gender,male,-0.0260231585742011,0.007975392110635636,-0.02602315857419335,0.007968078595673419
Origin,France,-0.020248625964700374,0.01744076792636796,-0.020203813341604874,0.01756872357482971
Origin,Mexico,-0.03668644695117222,0.01769702447801861,-0.03662617288118837,0.01781433523118041
Origin,Philippines,-0.013134859618057777,0.017736533805713012,-0.013057978856563993,0.017734965369852283
Origin,Poland,-0.014580807567458314,0.017667188580605873,-0.014515500403594147,0.017693306651573596
Origin,India,-0.0471606255441852,0.01751472227102176,-0.047038963281899694,0.01770103889322114
Origin,China,-0.05841493249486803,0.019802910163990686,-0.05820349657099093,0.019892080753323136
Origin,Sudan,-0.09897220928053421,0.01982400500901659,-0.09884432519128984,0.019999990319490575
Origin,Somalia,-0.10025794988981104,0.019651842522628558,-0.10003256349893656,0.019846290477614426
Origin,Iraq,-0.1598214227205594,0.020014740445996788,-0.1598445910188991,0.020185051618749762
ApplicationReason,ApplicationReason.2,-0.038318972297393845,0.00871588548096379,-0.03817535296660656,0.008749404639505255
ApplicationReason,ApplicationReason.3,0.05563445393194727,0.01572877499679226,0.04847732111743713,0.019051897485602393
Profession,Waiter,-0.006814709420678778,0.016564373952091826,-0.0071174665837230545,0.01661172955851222
Profession,Child care provider,0.014886097941996457,0.01673132979527869,0.014638115531175748,0.01664938403989454
Profession,Gardener,0.013171372567242611,0.01679917508479852,0.013016238550883609,0.0167855067895061
Profession,Financial analyst,0.06393468290501708,0.029352345668935093,0.06372606035059002,0.0294787903413575
Profession,Construction worker,0.037824465515331945,0.0167308715279881,0.03732958684376841,0.016764742133404988
Profession,Teacher,0.0732876164952139,0.01666238458776948,0.07298309561198575,0.01671302441029243
Profession,Computer programmer,0.07910120968273318,0.028637155495237716,0.0784911035059689,0.02872374845278986
Profession,Nurse,0.08473681542643187,0.016627950841471062,0.08439892569627634,0.016676877403784235
Profession,Research scientist,0.1276365960830011,0.02804299746682714,0.12713180478571653,0.02871903004772974
Profession,Doctor,0.1573024334940933,0.02801870302763253,0.15671094872452995,0.02862430253289844
JobExperience,JobExperience.2,0.06529037408148468,0.01131894437269663,0.0652903740814913,0.011240578702500626
JobExperience,JobExperience.3,0.10781786741914098,0.011312088471347272,0.1078178674191459,0.011345142608658931
JobExperience,JobExperience.4,0.11314825612041012,0.011313455314394467,0.11314825612040946,0.011327320076330749
JobPlans,JobPlans.2,-0.09971264213130841,0.011340029419456367,-0.09971264213131048,0.0113272291406687
JobPlans,JobPlans.3,-0.1249299365138977,0.011301993058547689,-0.12492993651390392,0.011272446358082508
JobPlans,JobPlans.4,-0.2822310139321588,0.011008211856565843,-0.28223101393216166,0.011168559351717365
PriorTripstoUS,PriorTripstoUS.2,0.05595495425169019,0.012714253895240377,0.05595495425169005,0.012633650812350117
PriorTripstoUS,PriorTripstoUS.3,0.05474842463122969,0.012742572501597242,0.0547484246312335,0.012674304961470371
PriorTripstoUS,PriorTripstoUS.4,0.07531788695636109,0.012575368925567218,0.07531788695636134,0.012583679470771509
PriorTripstoUS,PriorTripstoUS.5,-0.1100842746190459,0.012474165108594957,-0.11008427461904081,0.012580502925511406
Language,Language.2,-0.056319722997018123,0.01118963912130639,-0.05631972299701927,0.011243801008916421
Language,Language.3,-0.1263595273077348,0.011181038979998082,-0.12635952730773603,0.011196280678578656
Language,Language.4,-0.15974091683372185,0.011244135970553893,-0.15974091683372582,0.011243750179691894
